# Time, DeltaP, DeltaP_err
-29.7944, -753.471, 0.0719279
-28.7944, -753.491, 0.0719279
-27.7944, -753.471, 0.0719279
-26.7944, -753.541, 0.0719279
-25.7944, -753.451, 0.0719279
-24.7944, -753.431, 0.0719279
-23.7944, -753.481, 0.0719279
-22.7944, -753.521, 0.0719279
-21.7944, -753.461, 0.0719279
-20.7944, -753.481, 0.0719279
-19.7944, -753.501, 0.0719279
-18.7944, -753.521, 0.0719279
-17.7944, -753.481, 0.0719279
-16.7944, -753.471, 0.0719279
-15.7944, -753.481, 0.0719279
-14.7944, -753.481, 0.0719279
-13.7944, -753.481, 0.0719279
-12.7944, -753.541, 0.0719279
-11.7944, -753.481, 0.0719279
-11.7944, -753.551, 0.0719279
-10.7944, -753.531, 0.0719279
-9.79444, -753.571, 0.0719279
-8.79444, -753.571, 0.0719279
-7.79444, -753.571, 0.0719279
-6.79444, -753.601, 0.0719279
-5.79444, -753.621, 0.0719279
-4.79444, -753.711, 0.0719279
-3.79444, -753.761, 0.0719279
-2.79444, -753.841, 0.0719279
-1.79444, -753.851, 0.0719279
-0.794439, -753.911, 0.0719279
0.205561, -753.891, 0.0719279
1.20556, -754.051, 0.0719279
2.20556, -753.921, 0.0719279
3.20556, -753.761, 0.0719279
4.20556, -753.691, 0.0719279
5.20556, -753.561, 0.0719279
6.20556, -753.581, 0.0719279
7.20556, -753.511, 0.0719279
8.20556, -753.511, 0.0719279
9.20556, -753.471, 0.0719279
10.2056, -753.491, 0.0719279
11.2056, -753.491, 0.0719279
12.2056, -753.511, 0.0719279
13.2056, -753.471, 0.0719279
14.2056, -753.431, 0.0719279
15.2056, -753.471, 0.0719279
16.2056, -753.401, 0.0719279
17.2056, -753.411, 0.0719279
18.2056, -753.521, 0.0719279
19.2056, -753.431, 0.0719279
20.2056, -753.451, 0.0719279
21.2056, -753.501, 0.0719279
22.2056, -753.491, 0.0719279
23.2056, -753.471, 0.0719279
24.2056, -753.451, 0.0719279
25.2056, -753.431, 0.0719279
25.2056, -753.451, 0.0719279
26.2056, -753.481, 0.0719279
27.2056, -753.481, 0.0719279
28.2056, -753.501, 0.0719279
29.2056, -753.461, 0.0719279
30.2056, -753.461, 0.0719279
31.2056, -753.481, 0.0719279
32.2056, -753.461, 0.0719279
33.2056, -753.481, 0.0719279
