# Time, DeltaP
-75.6025, 0.0690362
-74.6025, 0.0661667
-73.6025, 0.0632463
-72.6025, 0.0602725
-71.6025, 0.0572425
-70.6025, 0.0541531
-69.6025, 0.0510012
-68.6025, 0.0477833
-67.6025, 0.0444959
-66.6025, 0.0411349
-65.6025, 0.0376963
-64.6025, 0.0341754
-63.6025, 0.0305675
-62.6025, 0.0268674
-61.6025, 0.0230695
-60.6025, 0.019168
-59.6025, 0.0151563
-58.6025, 0.0110277
-57.6025, 0.00677455
-56.6025, 0.00238892
-56.6025, 0.00238892
-55.6025, -0.00213788
-54.6025, -0.00681522
-53.6025, -0.0116533
-52.6025, -0.016663
-51.6025, -0.0218563
-50.6025, -0.0272462
-49.6025, -0.0328467
-48.6025, -0.0386732
-47.6025, -0.0447422
-46.6025, -0.0510721
-45.6025, -0.0576825
-44.6025, -0.0645953
-43.6025, -0.0718341
-42.6025, -0.0794251
-41.6025, -0.0873966
-40.6025, -0.09578
-39.6025, -0.10461
-38.6025, -0.113924
-37.6025, -0.123764
-36.6025, -0.134176
-35.6025, -0.14521
-34.6025, -0.156924
-33.6025, -0.169379
-32.6025, -0.182642
-31.6025, -0.196792
-30.6025, -0.211911
-29.6025, -0.228092
-28.6025, -0.245438
-27.6025, -0.264064
-26.6025, -0.284093
-25.6025, -0.305666
-24.6025, -0.328933
-23.6025, -0.354061
-22.6025, -0.381232
-21.6025, -0.410639
-20.6025, -0.442494
-19.6025, -0.477017
-19.6025, -0.477017
-18.6025, -0.514437
-17.6025, -0.554985
-16.6025, -0.598889
-15.6025, -0.646351
-14.6025, -0.697542
-13.6025, -0.752565
-12.6025, -0.811432
-11.6025, -0.874016
-10.6025, -0.940004
-9.60248, -1.00884
-8.60248, -1.07967
-7.60248, -1.15127
-6.60248, -1.22205
-5.60248, -1.29002
-4.60248, -1.35286
-3.60248, -1.40805
-2.60248, -1.45306
-1.60248, -1.48562
-0.602477, -1.50398
0.397523, -1.50713
1.39752, -1.49498
2.39752, -1.46835
3.39752, -1.42886
4.39752, -1.3787
5.39752, -1.32036
6.39752, -1.25639
7.39752, -1.18916
8.39752, -1.12072
9.39752, -1.05277
10.3975, -0.986584
11.3975, -0.923101
12.3975, -0.86293
13.3975, -0.806429
14.3975, -0.753758
15.3975, -0.704931
16.3975, -0.65986
16.3975, -0.65986
17.3975, -0.618386
18.3975, -0.580311
19.3975, -0.545412
20.3975, -0.513457
21.3975, -0.484217
22.3975, -0.457469
23.3975, -0.433
24.3975, -0.410611
25.3975, -0.39012
26.3975, -0.371356
27.3975, -0.354165
28.3975, -0.338405
29.3975, -0.32395
30.3975, -0.310681
31.3975, -0.298496
32.3975, -0.287298
33.3975, -0.277002
34.3975, -0.267531
35.3975, -0.258814
36.3975, -0.250788
37.3975, -0.243396
38.3975, -0.236586
39.3975, -0.230311
40.3975, -0.224528
41.3975, -0.219199
42.3975, -0.214289
43.3975, -0.209766
44.3975, -0.2056
45.3975, -0.201766
46.3975, -0.198238
47.3975, -0.194996
48.3975, -0.192018
49.3975, -0.189286
50.3975, -0.186784
51.3975, -0.184495
52.3975, -0.182406
53.3975, -0.180503
53.3975, -0.180503
54.3975, -0.178773
55.3975, -0.177207
56.3975, -0.175793
57.3975, -0.174523
58.3975, -0.173386
59.3975, -0.172376
60.3975, -0.171484
61.3975, -0.170704
62.3975, -0.170028
63.3975, -0.169452
64.3975, -0.168968
65.3975, -0.168573
66.3975, -0.168261
67.3975, -0.168028
68.3975, -0.167869
69.3975, -0.16778
70.3975, -0.167758
71.3975, -0.167799
72.3975, -0.167901
73.3975, -0.168059
74.3975, -0.168271
75.3975, -0.168534
