# Time, Pressure, Pressure_err
-10, -9.99184, 5.78242
-9.97998, -10.0288, 5.78242
-9.95996, -9.96729, 5.78242
-9.93994, -9.89208, 5.78242
-9.91992, -9.90402, 5.78242
-9.8999, -9.87394, 5.78242
-9.87988, -9.95326, 5.78242
-9.85986, -9.8197, 5.78242
-9.83984, -9.8725, 5.78242
-9.81982, -9.88328, 5.78242
-9.7998, -9.76787, 5.78242
-9.77978, -9.76466, 5.78242
-9.75976, -9.76881, 5.78242
-9.73974, -9.81729, 5.78242
-9.71972, -9.72741, 5.78242
-9.6997, -9.65425, 5.78242
-9.67968, -9.7529, 5.78242
-9.65966, -9.64895, 5.78242
-9.63964, -9.59738, 5.78242
-9.61962, -9.55329, 5.78242
-9.5996, -9.68737, 5.78242
-9.57958, -9.63624, 5.78242
-9.55956, -9.53926, 5.78242
-9.53954, -9.4912, 5.78242
-9.51952, -9.6302, 5.78242
-9.4995, -9.46013, 5.78242
-9.47948, -9.56138, 5.78242
-9.45946, -9.45846, 5.78242
-9.43944, -9.51053, 5.78242
-9.41942, -9.48034, 5.78242
-9.3994, -9.37653, 5.78242
-9.37938, -9.37454, 5.78242
-9.35936, -9.34605, 5.78242
-9.33934, -9.40681, 5.78242
-9.31932, -9.34452, 5.78242
-9.2993, -9.2727, 5.78242
-9.27928, -9.32624, 5.78242
-9.25926, -9.24524, 5.78242
-9.23924, -9.25347, 5.78242
-9.21922, -9.226, 5.78242
-9.1992, -9.26268, 5.78242
-9.17918, -9.18965, 5.78242
-9.15916, -9.10971, 5.78242
-9.13914, -9.16452, 5.78242
-9.11912, -9.18379, 5.78242
-9.0991, -9.11445, 5.78242
-9.07908, -9.08743, 5.78242
-9.05906, -9.08105, 5.78242
-9.03904, -9.07725, 5.78242
-9.01902, -9.02464, 5.78242
-8.999, -9.0489, 5.78242
-8.97898, -8.91852, 5.78242
-8.95896, -8.93963, 5.78242
-8.93894, -8.91044, 5.78242
-8.91892, -8.94068, 5.78242
-8.8989, -8.96769, 5.78242
-8.87888, -8.89529, 5.78242
-8.85886, -8.77282, 5.78242
-8.83884, -8.8092, 5.78242
-8.81882, -8.80633, 5.78242
-8.7988, -8.76156, 5.78242
-8.77878, -8.81448, 5.78242
-8.75876, -8.76924, 5.78242
-8.73874, -8.7679, 5.78242
-8.71872, -8.67937, 5.78242
-8.6987, -8.778, 5.78242
-8.67868, -8.66011, 5.78242
-8.65866, -8.68772, 5.78242
-8.63864, -8.71403, 5.78242
-8.61862, -8.52562, 5.78242
-8.5986, -8.60418, 5.78242
-8.57858, -8.6067, 5.78242
-8.55856, -8.59967, 5.78242
-8.53854, -8.43169, 5.78242
-8.51852, -8.49911, 5.78242
-8.4985, -8.4961, 5.78242
-8.47848, -8.48894, 5.78242
-8.45846, -8.45549, 5.78242
-8.43844, -8.4827, 5.78242
-8.41842, -8.4543, 5.78242
-8.3984, -8.40008, 5.78242
-8.37838, -8.40233, 5.78242
-8.35836, -8.40213, 5.78242
-8.33834, -8.36505, 5.78242
-8.31832, -8.38445, 5.78242
-8.2983, -8.27156, 5.78242
-8.27828, -8.11876, 5.78242
-8.25826, -8.24813, 5.78242
-8.23824, -8.27914, 5.78242
-8.21822, -8.28061, 5.78242
-8.1982, -8.245, 5.78242
-8.17818, -8.23516, 5.78242
-8.15816, -8.13787, 5.78242
-8.13814, -8.16099, 5.78242
-8.11812, -8.13209, 5.78242
-8.0981, -8.15719, 5.78242
-8.07808, -8.1453, 5.78242
-8.05806, -7.9501, 5.78242
-8.03804, -8.06094, 5.78242
-8.01802, -7.9553, 5.78242
-7.998, -8.0235, 5.78242
-7.97798, -7.98153, 5.78242
-7.95796, -7.91448, 5.78242
-7.93794, -7.87782, 5.78242
-7.91792, -7.83112, 5.78242
-7.8979, -7.87118, 5.78242
-7.87788, -7.93429, 5.78242
-7.85786, -7.88601, 5.78242
-7.83784, -7.8215, 5.78242
-7.81782, -7.80543, 5.78242
-7.7978, -7.74931, 5.78242
-7.77778, -7.7257, 5.78242
-7.75776, -7.77654, 5.78242
-7.73774, -7.73557, 5.78242
-7.71772, -7.72593, 5.78242
-7.6977, -7.63791, 5.78242
-7.67768, -7.74043, 5.78242
-7.65766, -7.65452, 5.78242
-7.63764, -7.69385, 5.78242
