SCLK,LMST,LTST,PRESSURE,PRESSURE_UNCERTAINTY,TRANSDUCER
674795165,00089M00:01:02.835,0088 23:54:24,759.18,,1
674795166,00089M00:01:03.808,0088 23:54:25,759.09,,1
674795167,00089M00:01:04.781,0088 23:54:26,759.10,,1
674795168,00089M00:01:05.755,0088 23:54:27,759.16,,1
674795169,00089M00:01:06.728,0088 23:54:28,759.20,,1
674795170,00089M00:01:07.701,0088 23:54:29,759.17,,1
674795171,00089M00:01:08.674,0088 23:54:30,759.17,,1
674795172,00089M00:01:09.648,0088 23:54:31,759.21,,1
674795173,00089M00:01:10.621,0088 23:54:32,759.14,,1
674795174,00089M00:01:11.594,0088 23:54:33,759.16,,1
674795175,00089M00:01:12.567,0088 23:54:34,759.12,,1
674795176,00089M00:01:13.541,0088 23:54:35,759.14,,1
674795177,00089M00:01:14.514,0088 23:54:36,759.11,,1
674795178,00089M00:01:15.487,0088 23:54:37,759.18,,1
674795179,00089M00:01:16.460,0088 23:54:38,759.16,,1
674795180,00089M00:01:17.434,0088 23:54:39,759.18,,1
674795181,00089M00:01:18.407,0088 23:54:40,759.15,,1
674795182,00089M00:01:19.380,0088 23:54:41,759.17,,1
674795183,00089M00:01:20.353,0088 23:54:42,759.15,,1
674795184,00089M00:01:21.327,0088 23:54:43,759.22,,1
674795185,00089M00:01:22.300,0088 23:54:44,759.21,,1
674795186,00089M00:01:23.273,0088 23:54:45,759.21,,1
674795187,00089M00:01:24.246,0088 23:54:46,759.10,,1
674795188,00089M00:01:25.220,0088 23:54:47,759.19,,1
674795189,00089M00:01:26.193,0088 23:54:48,759.17,,1
674795190,00089M00:01:27.166,0088 23:54:49,759.17,,1
674795191,00089M00:01:28.139,0088 23:54:50,759.16,,1
674795192,00089M00:01:29.113,0088 23:54:51,759.14,,1
674795193,00089M00:01:30.086,0088 23:54:52,759.21,,1
674795194,00089M00:01:31.059,0088 23:54:53,759.14,,1
674795195,00089M00:01:32.032,0088 23:54:54,759.16,,1
674795196,00089M00:01:33.006,0088 23:54:55,759.18,,1
674795197,00089M00:01:33.979,0088 23:54:56,759.16,,1
674795198,00089M00:01:34.952,0088 23:54:57,759.20,,1
674795199,00089M00:01:35.925,0088 23:54:58,759.18,,1
674795200,00089M00:01:36.899,0088 23:54:58,759.20,,1
674795201,00089M00:01:37.872,0088 23:54:59,759.18,,1
674795202,00089M00:01:38.845,0088 23:55:00,759.20,,1
674795203,00089M00:01:39.818,0088 23:55:01,759.15,,1
674795204,00089M00:01:40.792,0088 23:55:02,759.17,,1
674795205,00089M00:01:41.765,0088 23:55:03,759.19,,1
674795206,00089M00:01:42.738,0088 23:55:04,759.19,,1
674795207,00089M00:01:43.711,0088 23:55:05,759.19,,1
674795208,00089M00:01:44.685,0088 23:55:06,759.21,,1
674795209,00089M00:01:45.658,0088 23:55:07,759.15,,1
674795210,00089M00:01:46.631,0088 23:55:08,759.15,,1
674795211,00089M00:01:47.604,0088 23:55:09,759.17,,1
674795212,00089M00:01:48.578,0088 23:55:10,759.19,,1
674795213,00089M00:01:49.551,0088 23:55:11,759.14,,1
674795214,00089M00:01:50.524,0088 23:55:12,759.17,,1
674795215,00089M00:01:51.497,0088 23:55:13,759.18,,1
674795216,00089M00:01:52.471,0088 23:55:14,759.23,,1
674795217,00089M00:01:53.444,0088 23:55:15,759.18,,1
674795218,00089M00:01:54.417,0088 23:55:16,759.18,,1
674795219,00089M00:01:55.390,0088 23:55:17,759.20,,1
674795220,00089M00:01:56.364,0088 23:55:18,759.20,,1
674795221,00089M00:01:57.337,0088 23:55:19,759.18,,1
674795222,00089M00:01:58.310,0088 23:55:20,759.20,,1
674795223,00089M00:01:59.283,0088 23:55:21,759.18,,1
674795224,00089M00:02:00.257,0088 23:55:22,759.15,,1
674795225,00089M00:02:01.230,0088 23:55:23,759.22,,1
674795226,00089M00:02:02.203,0088 23:55:24,759.17,,1
674795227,00089M00:02:03.176,0088 23:55:25,759.19,,1
674795228,00089M00:02:04.150,0088 23:55:26,759.19,,1
674795229,00089M00:02:05.123,0088 23:55:27,759.17,,1
674795230,00089M00:02:06.096,0088 23:55:28,759.25,,1
674795231,00089M00:02:07.069,0088 23:55:29,759.21,,1
674795232,00089M00:02:08.043,0088 23:55:30,759.21,,1
674795233,00089M00:02:09.016,0088 23:55:31,759.16,,1
674795234,00089M00:02:09.989,0088 23:55:32,759.23,,1
674795235,00089M00:02:10.962,0088 23:55:33,759.16,,1
674795236,00089M00:02:11.936,0088 23:55:34,759.16,,1
674795237,00089M00:02:12.909,0088 23:55:35,759.19,,1
674795238,00089M00:02:13.882,0088 23:55:35,759.20,,1
674795239,00089M00:02:14.855,0088 23:55:36,759.21,,1
674795240,00089M00:02:15.829,0088 23:55:37,759.20,,1
674795241,00089M00:02:16.802,0088 23:55:38,759.20,,1
674795242,00089M00:02:17.775,0088 23:55:39,759.22,,1
674795243,00089M00:02:18.748,0088 23:55:40,759.26,,1
674795244,00089M00:02:19.722,0088 23:55:41,759.22,,1
674795245,00089M00:02:20.695,0088 23:55:42,759.22,,1
674795246,00089M00:02:21.668,0088 23:55:43,759.22,,1
674795247,00089M00:02:22.641,0088 23:55:44,759.19,,1
674795248,00089M00:02:23.615,0088 23:55:45,759.19,,1
674795249,00089M00:02:24.588,0088 23:55:46,759.24,,1
674795250,00089M00:02:25.561,0088 23:55:47,759.23,,1
674795251,00089M00:02:26.534,0088 23:55:48,759.23,,1
674795252,00089M00:02:27.508,0088 23:55:49,759.19,,1
674795253,00089M00:02:28.481,0088 23:55:50,759.21,,1
674795254,00089M00:02:29.454,0088 23:55:51,759.21,,1
674795255,00089M00:02:30.427,0088 23:55:52,759.25,,1
674795256,00089M00:02:31.401,0088 23:55:53,759.25,,1
674795257,00089M00:02:32.374,0088 23:55:54,759.18,,1
674795258,00089M00:02:33.347,0088 23:55:55,759.18,,1
674795259,00089M00:02:34.320,0088 23:55:56,759.20,,1
674795260,00089M00:02:35.294,0088 23:55:57,759.18,,1
674795261,00089M00:02:36.267,0088 23:55:58,759.22,,1
