# Time, DeltaP, DeltaP_err
-645.26, -752.701, 0.0719279
-644.26, -752.731, 0.0719279
-643.26, -752.691, 0.0719279
-642.26, -752.751, 0.0719279
-641.26, -752.711, 0.0719279
-640.26, -752.691, 0.0719279
-639.26, -752.781, 0.0719279
-638.26, -752.701, 0.0719279
-637.26, -752.761, 0.0719279
-636.26, -752.741, 0.0719279
-635.26, -752.751, 0.0719279
-634.26, -752.721, 0.0719279
-633.26, -752.721, 0.0719279
-633.26, -752.771, 0.0719279
-632.26, -752.691, 0.0719279
-631.26, -752.751, 0.0719279
-630.26, -752.731, 0.0719279
-629.26, -752.761, 0.0719279
-628.26, -752.761, 0.0719279
-627.26, -752.781, 0.0719279
-626.26, -752.741, 0.0719279
-625.26, -752.791, 0.0719279
-624.26, -752.741, 0.0719279
-623.26, -752.791, 0.0719279
-622.26, -752.771, 0.0719279
-621.26, -752.751, 0.0719279
-620.26, -752.811, 0.0719279
-619.26, -752.821, 0.0719279
-618.26, -752.751, 0.0719279
-617.26, -752.801, 0.0719279
-616.26, -752.751, 0.0719279
-615.26, -752.711, 0.0719279
-614.26, -752.741, 0.0719279
-613.26, -752.831, 0.0719279
-612.26, -752.781, 0.0719279
-611.26, -752.761, 0.0719279
-610.26, -752.791, 0.0719279
-609.26, -752.811, 0.0719279
-608.26, -752.831, 0.0719279
-607.26, -752.791, 0.0719279
-606.26, -752.781, 0.0719279
-605.26, -752.791, 0.0719279
-604.26, -752.751, 0.0719279
-603.26, -752.761, 0.0719279
-602.26, -752.821, 0.0719279
-601.26, -752.801, 0.0719279
-600.26, -752.761, 0.0719279
-599.26, -752.781, 0.0719279
-598.26, -752.761, 0.0719279
-597.26, -752.791, 0.0719279
-597.26, -752.791, 0.0719279
-596.26, -752.811, 0.0719279
-595.26, -752.791, 0.0719279
-594.26, -752.791, 0.0719279
-593.26, -752.801, 0.0719279
-592.26, -752.731, 0.0719279
-591.26, -752.751, 0.0719279
-590.26, -752.731, 0.0719279
-589.26, -752.781, 0.0719279
-588.26, -752.781, 0.0719279
-587.26, -752.761, 0.0719279
-586.26, -752.761, 0.0719279
-585.26, -752.761, 0.0719279
-584.26, -752.761, 0.0719279
-583.26, -752.741, 0.0719279
-582.26, -752.791, 0.0719279
-581.26, -752.771, 0.0719279
-580.26, -752.731, 0.0719279
-579.26, -752.791, 0.0719279
-578.26, -752.801, 0.0719279
-577.26, -752.771, 0.0719279
-576.26, -752.731, 0.0719279
-575.26, -752.761, 0.0719279
-574.26, -752.741, 0.0719279
-573.26, -752.811, 0.0719279
-572.26, -752.781, 0.0719279
-571.26, -752.761, 0.0719279
-570.26, -752.701, 0.0719279
-569.26, -752.721, 0.0719279
-568.26, -752.771, 0.0719279
-567.26, -752.751, 0.0719279
-566.26, -752.751, 0.0719279
-565.26, -752.691, 0.0719279
-564.26, -752.661, 0.0719279
-563.26, -752.781, 0.0719279
-562.26, -752.731, 0.0719279
-561.26, -752.751, 0.0719279
-560.26, -752.741, 0.0719279
-560.26, -752.721, 0.0719279
-559.26, -752.781, 0.0719279
-558.26, -752.721, 0.0719279
-557.26, -752.711, 0.0719279
-556.26, -752.751, 0.0719279
-555.26, -752.681, 0.0719279
-554.26, -752.751, 0.0719279
-553.26, -752.731, 0.0719279
-552.26, -752.751, 0.0719279
-551.26, -752.701, 0.0719279
-550.26, -752.711, 0.0719279
-549.26, -752.691, 0.0719279
-548.26, -752.731, 0.0719279
-547.26, -752.731, 0.0719279
-546.26, -752.741, 0.0719279
-545.26, -752.671, 0.0719279
-544.26, -752.651, 0.0719279
-543.26, -752.701, 0.0719279
-542.26, -752.721, 0.0719279
-541.26, -752.701, 0.0719279
-540.26, -752.661, 0.0719279
-539.26, -752.611, 0.0719279
-538.26, -752.661, 0.0719279
-537.26, -752.701, 0.0719279
-536.26, -752.681, 0.0719279
-535.26, -752.661, 0.0719279
-534.26, -752.691, 0.0719279
-533.26, -752.691, 0.0719279
-532.26, -752.671, 0.0719279
-531.26, -752.651, 0.0719279
-530.26, -752.631, 0.0719279
-529.26, -752.691, 0.0719279
-528.26, -752.651, 0.0719279
-527.26, -752.691, 0.0719279
-526.26, -752.661, 0.0719279
